user,type,source,group
sdagosti,local-user,group:CINS,CINS
ajeanjea,local-user,group:CINS,CINS
lparfait,local-user,group:CINS,CINS
fdeweulf,local-user,group:CINS,CINS
ftrincal,local-user,group:CINS,CINS
dbonnefi,local-user,group:CINS,CINS
dnottin,local-user,group:CINS,CINS
slapeyre,local-user,group:CINS,CINS
ccibert,local-user,group:CMMI_SITE_DEV,CMMI_SITE_DEV
jcazeils,local-user,group:CMMI_SITE_DEV,CMMI_SITE_DEV
www-data,local-user,group:CMMI_SITE_DEV,CMMI_SITE_DEV
odallaro,local-user,group:CMMI_SITE_DEV,CMMI_SITE_DEV
dngo,local-user,group:COSS,COSS
lsoyer,local-user,group:COSS,COSS
fwandels,local-user,group:COSS,COSS
oservian,local-user,group:DCU_SVN,DCU_SVN
odallaro,local-user,group:DCU_SVN,DCU_SVN
dvivier,local-user,group:DLK_CVS,DLK_CVS
llamonta,local-user,group:DLK_CVS,DLK_CVS
mdelort,local-user,group:DLK_CVS,DLK_CVS
egomez,local-user,group:DLK_CVS,DLK_CVS
mcatteau,local-user,group:DLK_CVS,DLK_CVS
mvenier,local-user,group:DLK_CVS,DLK_CVS
gdecroue,local-user,group:DLK_CVS,DLK_CVS
vhubert,local-user,group:DLP,DLP
mvenier,local-user,group:DLP,DLP
jpouzet,local-user,group:DLP,DLP
vhubert,local-user,group:DLP_L16,DLP_L16
jpouzet,local-user,group:DLP_L16,DLP_L16
ehatchon,local-user,group:DTSC,DTSC
dngo,local-user,group:DTS_CONTROLLER,DTS_CONTROLLER
jpouzet,local-user,group:DTS_CONTROLLER,DTS_CONTROLLER
pcazalbo,local-user,group:ECLAIR,ECLAIR
bpourrec,local-user,group:ECLAIR,ECLAIR
tgiraldi,local-user,group:ECLAIR,ECLAIR
ajeanjea,local-user,group:ECLAIR,ECLAIR
ftrincal,local-user,group:EFBC2,EFBC2
ajeanjea,local-user,group:EFBC2,EFBC2
olafourc,local-user,group:EFIS,EFIS
cleblanc,local-user,group:EFIS,EFIS
jarnoux,local-user,group:EFIS,EFIS
plorho,local-user,group:EFIS,EFIS
taguet,local-user,group:EFIS,EFIS
mescande,local-user,group:EFIS,EFIS
rthieuli,local-user,group:EFIS,EFIS
xerrando,local-user,group:EFIS,EFIS
lmaes,local-user,group:EFIS,EFIS
sleliev1,local-user,group:EFIS,EFIS
fmoulin,local-user,group:EFIS,EFIS
lvidal,local-user,group:EFIS,EFIS
ecorbi,local-user,group:EFIS,EFIS
gthullie,local-user,group:EFIS,EFIS
jneufabe,local-user,group:EFIS,EFIS
phebrard,local-user,group:EFIS,EFIS
ravsec,local-user,group:EFIS,EFIS
ecadic,local-user,group:ET-pdmgroup,ET-pdmgroup
ccibert,local-user,group:ET-pdmgroup,ET-pdmgroup
dmechain,local-user,group:ET-pdmgroup,ET-pdmgroup
dressige,local-user,group:ET-pdmgroup,ET-pdmgroup
mguy,local-user,group:ET-pdmgroup,ET-pdmgroup
pcau,local-user,group:ET-pdmgroup,ET-pdmgroup
plombard,local-user,group:ETCTEST_SVN,ETCTEST_SVN
oletoume,local-user,group:ETCTEST_SVN,ETCTEST_SVN
odallaro,local-user,group:ETCTEST_SVN,ETCTEST_SVN
fmartin,local-user,group:ETCTEST_SVN,ETCTEST_SVN
ehatchon,local-user,group:FD2_TEAM,FD2_TEAM
oservian,local-user,group:FD2_TEAM,FD2_TEAM
lbaules,local-user,group:FD2_TEAM,FD2_TEAM
odallaro,local-user,group:FMCWSF_SVN,FMCWSF_SVN
odallaro,local-user,group:FSTASecu_SVN,FSTASecu_SVN
jlephay,local-user,group:FSTASecu_SVN,FSTASecu_SVN
lleonard,local-user,group:FSTASecu_SVN,FSTASecu_SVN
odallaro,local-user,group:IMS_SVN,IMS_SVN
laudoune,local-user,group:IMS_SVN,IMS_SVN
fmoulin,local-user,group:IMS_SVN,IMS_SVN
vhubert,local-user,group:ISDR,ISDR
xesneu,local-user,group:ISDR,ISDR
fmaison,local-user,group:ISDR,ISDR
dngo,local-user,group:ISDR,ISDR
ehatchon,local-user,group:ISDR,ISDR
cherrero,local-user,group:ISDR,ISDR
hyuan,local-user,group:ISDR,ISDR
bbordona,local-user,group:ISDR,ISDR
fmaison,local-user,group:ISDR_SVN,ISDR_SVN
odallaro,local-user,group:ISDR_SVN,ISDR_SVN
mvenier,local-user,group:ISOCRATE,ISOCRATE
fmartin,local-user,group:ISOCRATE,ISOCRATE
lleonard,local-user,group:ISOCRATE,ISOCRATE
lsoyer,local-user,group:JTRS,JTRS
vhubert,local-user,group:L22MODEM,L22MODEM
dngo,local-user,group:L22MODEM,L22MODEM
jpouzet,local-user,group:L22MODEM,L22MODEM
ehatchon,local-user,group:L22MODEM,L22MODEM
prouquie,local-user,group:L22MODEM,L22MODEM
lsoyer,local-user,group:L22MODEM,L22MODEM
xpoulet,local-user,group:MOWGLY,MOWGLY
laudoune,local-user,group:MOWGLY,MOWGLY
fmoulin,local-user,group:MOWGLY,MOWGLY
sgasnier,local-user,group:MOWGLY,MOWGLY
lcardon,local-user,group:MPU,MPU
tgiraldi,local-user,group:MPU,MPU
dbonnefi,local-user,group:MPU,MPU
oservian,local-user,group:MPU,MPU
oletoume,local-user,group:MPU,MPU
mchanfre,local-user,group:RCU,RCU
cleblanc,local-user,group:RCU,RCU
mescande,local-user,group:RCU,RCU
pfaguet,local-user,group:RCU,RCU
vracaud,local-user,group:RCU,RCU
tgiraldi,local-user,group:RCU,RCU
oblacher,local-user,group:RCU,RCU
oletoume,local-user,group:RCU,RCU
rchabane,local-user,group:RCU,RCU
smontroz,local-user,group:RCU,RCU
fjouhaud,local-user,group:RCU,RCU
fmartin,local-user,group:RCU,RCU
cchadebe,local-user,group:RCU,RCU
sleliev1,local-user,group:RCU,RCU
scolombi,local-user,group:RCU,RCU
vmassias,local-user,group:RCU,RCU
pcouderc,local-user,group:RCU,RCU
plombard,local-user,group:RCU,RCU
sborrel,local-user,group:RCU,RCU
ecorbi,local-user,group:RCU,RCU
lkaman,local-user,group:RCU,RCU
fkoppe,local-user,group:RCU,RCU
gthullie,local-user,group:RCU,RCU
oletoume,local-user,group:RCU4000_SVN,RCU4000_SVN
plombard,local-user,group:RCU4000_SVN,RCU4000_SVN
odallaro,local-user,group:RCU4000_SVN,RCU4000_SVN
sleliev1,local-user,group:RCU4000_SVN,RCU4000_SVN
lbaules,local-user,group:RCU_CTL,RCU_CTL
dressige,local-user,group:RCU_CTL,RCU_CTL
oletoume,local-user,group:RCU_CTL,RCU_CTL
mroux,local-user,group:RCU_CTL,RCU_CTL
rchabane,local-user,group:RCU_CTL,RCU_CTL
sleliev1,local-user,group:RCU_CTL,RCU_CTL
ehatchon,local-user,group:RDMODEM,RDMODEM
rracaud,local-user,group:RDMODEM,RDMODEM
ehatchon,local-user,group:RF_Test_Waveform,RF_Test_Waveform
cleblanc,local-user,group:RMS,RMS
mchanfre,local-user,group:RMS,RMS
mescande,local-user,group:RMS,RMS
pfaguet,local-user,group:RMS,RMS
tgiraldi,local-user,group:RMS,RMS
vracaud,local-user,group:RMS,RMS
nelmayan,local-user,group:RMS,RMS
oblacher,local-user,group:RMS,RMS
oletoume,local-user,group:RMS,RMS
odallaro,local-user,group:RMS,RMS
cchadebe,local-user,group:RMS,RMS
fjouhaud,local-user,group:RMS,RMS
fmartin,local-user,group:RMS,RMS
rchabane,local-user,group:RMS,RMS
smontroz,local-user,group:RMS,RMS
scolombi,local-user,group:RMS,RMS
pcouderc,local-user,group:RMS,RMS
vmassias,local-user,group:RMS,RMS
plombard,local-user,group:RMS,RMS
ecorbi,local-user,group:RMS,RMS
fkoppe,local-user,group:RMS,RMS
lkaman,local-user,group:RMS,RMS
phebrard,local-user,group:RMS,RMS
sborrel,local-user,group:RMS,RMS
scolombi,local-user,group:RMSEFIS,RMSEFIS
cleblanc,local-user,group:RMSEFIS,RMSEFIS
mescande,local-user,group:RMSEFIS,RMSEFIS
oblacher,local-user,group:RMSEFIS,RMSEFIS
plombard,local-user,group:RMSEFIS,RMSEFIS
oletoume,local-user,group:RMSEFIS,RMSEFIS
rchabane,local-user,group:RMSEFIS,RMSEFIS
sborrel,local-user,group:RMSEFIS,RMSEFIS
ecorbi,local-user,group:RMSEFIS,RMSEFIS
lkaman,local-user,group:RMSEFIS,RMSEFIS
fmartin,local-user,group:RMSEFIS,RMSEFIS
dngo,local-user,group:RNAF,RNAF
mchanfre,local-user,group:RTU,RTU
cleblanc,local-user,group:RTU,RTU
mescande,local-user,group:RTU,RTU
pfaguet,local-user,group:RTU,RTU
vracaud,local-user,group:RTU,RTU
tgiraldi,local-user,group:RTU,RTU
oblacher,local-user,group:RTU,RTU
oletoume,local-user,group:RTU,RTU
rchabane,local-user,group:RTU,RTU
smontroz,local-user,group:RTU,RTU
fjouhaud,local-user,group:RTU,RTU
fmartin,local-user,group:RTU,RTU
cchadebe,local-user,group:RTU,RTU
sleliev1,local-user,group:RTU,RTU
wcottavo,local-user,group:RTU,RTU
scolombi,local-user,group:RTU,RTU
vmassias,local-user,group:RTU,RTU
pcouderc,local-user,group:RTU,RTU
plombard,local-user,group:RTU,RTU
sborrel,local-user,group:RTU,RTU
ecorbi,local-user,group:RTU,RTU
