user,type,source,group
ccibert,local-user,group:etcprj,etcprj
jcazeils,local-user,group:etcprj,etcprj
flescuye,local-user,group:etcprj,etcprj
cleblanc,local-user,group:etcprj,etcprj
tgiraldi,local-user,group:etcprj,etcprj
pfaguet,local-user,group:etcprj,etcprj
vracaud,local-user,group:etcprj,etcprj
fdeweulf,local-user,group:etcprj,etcprj
oletoume,local-user,group:etcprj,etcprj
nelmayan,local-user,group:etcprj,etcprj
oblacher,local-user,group:etcprj,etcprj
odallaro,local-user,group:etcprj,etcprj
fjouhaud,local-user,group:etcprj,etcprj
fmartin,local-user,group:etcprj,etcprj
rchabane,local-user,group:etcprj,etcprj
smontroz,local-user,group:etcprj,etcprj
cchadebe,local-user,group:etcprj,etcprj
sleliev1,local-user,group:etcprj,etcprj
smilhau,local-user,group:etcprj,etcprj
scolombi,local-user,group:etcprj,etcprj
vmassias,local-user,group:etcprj,etcprj
pcouderc,local-user,group:etcprj,etcprj
fperez,local-user,group:etcprj,etcprj
halloza,local-user,group:etcprj,etcprj
plombard,local-user,group:etcprj,etcprj
lkaman,local-user,group:etcprj,etcprj
phebrard,local-user,group:etcprj,etcprj
sborrel,local-user,group:etcprj,etcprj
efeuvrie,local-user,group:etcprj,etcprj
smontroz,local-user,group:expertsoft,expertsoft
tteres,local-user,group:expertsoft,expertsoft
fjouhaud,local-user,group:expertsoft,expertsoft
xesneu,local-user,group:hfmess,hfmess
tbesagni,local-user,group:hfmess,hfmess
fmaison,local-user,group:i2s,i2s
nane,local-user,group:i2s,i2s
bchaigne,local-user,group:i2s,i2s
sdagosti,local-user,group:i2s,i2s
vmassias,local-user,group:i2s,i2s
pcouderc,local-user,group:i2s,i2s
mvenier,local-user,group:i2s,i2s
smontroz,local-user,group:i2s,i2s
fmartin,local-user,group:i2s,i2s
cchadebe,local-user,group:i2s,i2s
sgasnier,local-user,group:i2s,i2s
prouzies,local-user,group:indus,indus
pcau,local-user,group:indus,indus
prouzies,local-user,group:indusdev,indusdev
pcau,local-user,group:indusdev,indusdev
apache,local-user,group:indusdev,indusdev
dmechain,local-user,group:indusmgr,indusmgr
pcau,local-user,group:indusmgr,indusmgr
apache,local-user,group:indusmgr,indusmgr
lguillot,local-user,group:indusmgr,indusmgr
ecadic,local-user,group:itadmin,itadmin
ldubin,local-user,group:itadmin,itadmin
dmechain,local-user,group:itadmin,itadmin
sgay,local-user,group:itadmin,itadmin
bchaigne,local-user,group:lgwss_svn,lgwss_svn
pdubois,local-user,group:lgwss_svn,lgwss_svn
easselin,local-user,group:logsces,logsces
olafourc,local-user,group:logsces,logsces
E40052801,local-user,group:logsces,logsces
jchezeau,local-user,group:logsces,logsces
mchanfre,local-user,group:meltem,meltem
asabeg,local-user,group:meltem,meltem
vmassias,local-user,group:meltem,meltem
lkaman,local-user,group:meltem,meltem
xesneu,local-user,group:mip,mip
gthullie,local-user,group:mip,mip
ecadic,local-user,group:nagios,nagios
www-data,local-user,group:nagios,nagios
apache,local-user,group:nagios,nagios
www-data,local-user,group:nagioscmd,nagioscmd
apache,local-user,group:nagioscmd,nagioscmd
ldemont,local-user,group:nbf,nbf
dngo,local-user,group:nbf,nbf
bchaigne,local-user,group:nbf,nbf
strembli,local-user,group:nbf,nbf
lvidal,local-user,group:nbf,nbf
pcouderc,local-user,group:nbf,nbf
mdelort,local-user,group:nbf,nbf
ajeanjea,local-user,group:nbf,nbf
dbonnefi,local-user,group:nbf,nbf
cchadebe,local-user,group:nbf,nbf
mfremau2,local-user,group:nbf,nbf
jlephay,local-user,group:nbf,nbf
ecadic,local-user,group:outils,outils
ccibert,local-user,group:outils,outils
dmechain,local-user,group:outils,outils
jcazeils,local-user,group:outils,outils
fdeweulf,local-user,group:outils,outils
wcottavo,local-user,group:outils,outils
ccibert,local-user,group:outilsdt,outilsdt
dmechain,local-user,group:outilsdt,outilsdt
jcazeils,local-user,group:outilsdt,outilsdt
mguy,local-user,group:outilsdt,outilsdt
fcomte,local-user,group:outilsdt,outilsdt
odallaro,local-user,group:outilsdt,outilsdt
wcottavo,local-user,group:outilsdt,outilsdt
ecadic,local-user,group:phas,phas
polive,local-user,group:phas,phas
psalmon,local-user,group:phas,phas
bbidenne,local-user,group:phas,phas
bbordona,local-user,group:phas,phas
dressige,local-user,group:phas,phas
fgirbal,local-user,group:phas,phas
nammour,local-user,group:phas,phas
oservian,local-user,group:phas,phas
fcrestey,local-user,group:phas,phas
phebrard,local-user,group:phas,phas
lbeaufre,local-user,group:phas,phas
sgasnier,local-user,group:phas,phas
ecadic,local-user,group:psr_radar,psr_radar
